file,function,box,filled,empty,rate
C1_1,no_sort,400,400,0,100.00
C1_2,no_sort,400,400,0,100.00
C1_3,no_sort,400,400,0,100.00
C2_1,no_sort,3600,1800,0,100.00
C2_2,no_sort,3600,1800,0,100.00
C2_3,no_sort,3600,1800,0,100.00
C3_1,no_sort,1600,600,0,100.00
C3_2,no_sort,1600,600,0,100.00
C3_3,no_sort,1600,600,0,100.00
C4_1,no_sort,3600,3600,0,100.00
C4_2,no_sort,3600,3600,0,100.00
C4_3,no_sort,3600,3600,0,100.00
C5_1,no_sort,3600,5400,0,100.00
C5_2,no_sort,3600,5400,0,100.00
C5_3,no_sort,3600,5400,0,100.00
C6_1,no_sort,6400,9600,0,100.00
C6_2,no_sort,6400,9600,0,100.00
C6_3,no_sort,6400,9600,0,100.00
C7_1,no_sort,25600,38400,0,100.00
C7_2,no_sort,25600,38400,0,100.00
C7_3,no_sort,25600,36539,1861,95.15
C1_1,max_h_first,400,360,40,90.00
C1_2,max_h_first,400,345,55,86.25
C1_3,max_h_first,400,382,18,95.50
C2_1,max_h_first,3600,1632,168,90.67
C2_2,max_h_first,3600,1603,197,89.06
C2_3,max_h_first,3600,1602,198,89.00
C3_1,max_h_first,1600,528,72,88.00
C3_2,max_h_first,1600,578,22,96.33
C3_3,max_h_first,1600,590,10,98.33
C4_1,max_h_first,3600,3364,236,93.44
C4_2,max_h_first,3600,3303,297,91.75
C4_3,max_h_first,3600,3460,140,96.11
C5_1,max_h_first,3600,5165,235,95.65
C5_2,max_h_first,3600,5105,295,94.54
C5_3,max_h_first,3600,5160,240,95.56
C6_1,max_h_first,6400,9229,371,96.14
C6_2,max_h_first,6400,9269,331,96.55
C6_3,max_h_first,6400,9224,376,96.08
C7_1,max_h_first,25600,37419,981,97.45
C7_2,max_h_first,25600,37599,801,97.91
C7_3,max_h_first,25600,37549,851,97.78
C1_1,max_w_first,400,319,81,79.75
C1_2,max_w_first,400,318,82,79.50
C1_3,max_w_first,400,344,56,86.00
C2_1,max_w_first,3600,1709,91,94.94
C2_2,max_w_first,3600,1580,220,87.78
C2_3,max_w_first,3600,1518,282,84.33
C3_1,max_w_first,1600,526,74,87.67
C3_2,max_w_first,1600,565,35,94.17
C3_3,max_w_first,1600,536,64,89.33
C4_1,max_w_first,3600,3163,437,87.86
C4_2,max_w_first,3600,3198,402,88.83
C4_3,max_w_first,3600,3095,505,85.97
C5_1,max_w_first,3600,4838,562,89.59
C5_2,max_w_first,3600,4895,505,90.65
C5_3,max_w_first,3600,4874,526,90.26
C6_1,max_w_first,6400,8718,882,90.81
C6_2,max_w_first,6400,8625,975,89.84
C6_3,max_w_first,6400,8717,883,90.80
C7_1,max_w_first,25600,36442,1958,94.90
C7_2,max_w_first,25600,36603,1797,95.32
C7_3,max_w_first,25600,36674,1726,95.51
C1_1,max_area_first,400,345,55,86.25
C1_2,max_area_first,400,357,43,89.25
C1_3,max_area_first,400,376,24,94.00
C2_1,max_area_first,3600,1690,110,93.89
C2_2,max_area_first,3600,1636,164,90.89
C2_3,max_area_first,3600,1743,57,96.83
C3_1,max_area_first,1600,539,61,89.83
C3_2,max_area_first,1600,580,20,96.67
C3_3,max_area_first,1600,587,13,97.83
C4_1,max_area_first,3600,3389,211,94.14
C4_2,max_area_first,3600,3347,253,92.97
C4_3,max_area_first,3600,3430,170,95.28
C5_1,max_area_first,3600,5189,211,96.09
C5_2,max_area_first,3600,5262,138,97.44
C5_3,max_area_first,3600,5176,224,95.85
C6_1,max_area_first,6400,9276,324,96.62
C6_2,max_area_first,6400,9331,269,97.20
C6_3,max_area_first,6400,9185,415,95.68
C7_1,max_area_first,25600,36865,1535,96.00
C7_2,max_area_first,25600,37277,1123,97.08
C7_3,max_area_first,25600,37412,988,97.43
C1_1,min_h_first,400,256,144,64.00
C1_2,min_h_first,400,301,99,75.25
C1_3,min_h_first,400,295,105,73.75
C2_1,min_h_first,3600,1340,460,74.44
C2_2,min_h_first,3600,1341,459,74.50
C2_3,min_h_first,3600,1280,520,71.11
C3_1,min_h_first,1600,505,95,84.17
C3_2,min_h_first,1600,460,140,76.67
C3_3,min_h_first,1600,395,205,65.83
C4_1,min_h_first,3600,2664,936,74.00
C4_2,min_h_first,3600,2782,818,77.28
C4_3,min_h_first,3600,2411,1189,66.97
C5_1,min_h_first,3600,4359,1041,80.72
C5_2,min_h_first,3600,4213,1187,78.02
C5_3,min_h_first,3600,4382,1018,81.15
C6_1,min_h_first,6400,7771,1829,80.95
C6_2,min_h_first,6400,7427,2173,77.36
C6_3,min_h_first,6400,7309,2291,76.14
C7_1,min_h_first,25600,32622,5778,84.95
C7_2,min_h_first,25600,31470,6930,81.95
C7_3,min_h_first,25600,32236,6164,83.95
C1_1,min_w_first,400,316,84,79.00
C1_2,min_w_first,400,253,147,63.25
C1_3,min_w_first,400,288,112,72.00
C2_1,min_w_first,3600,1332,468,74.00
C2_2,min_w_first,3600,1199,601,66.61
C2_3,min_w_first,3600,1281,519,71.17
C3_1,min_w_first,1600,435,165,72.50
C3_2,min_w_first,1600,448,152,74.67
C3_3,min_w_first,1600,468,132,78.00
C4_1,min_w_first,3600,2636,964,73.22
C4_2,min_w_first,3600,2883,717,80.08
C4_3,min_w_first,3600,2680,920,74.44
C5_1,min_w_first,3600,3897,1503,72.17
C5_2,min_w_first,3600,3803,1597,70.43
C5_3,min_w_first,3600,3895,1505,72.13
C6_1,min_w_first,6400,7170,2430,74.69
C6_2,min_w_first,6400,7084,2516,73.79
C6_3,min_w_first,6400,7357,2243,76.64
C7_1,min_w_first,25600,29955,8445,78.01
C7_2,min_w_first,25600,29017,9383,75.57
C7_3,min_w_first,25600,27549,10851,71.74
C1_1,min_area_first,400,280,120,70.00
C1_2,min_area_first,400,241,159,60.25
C1_3,min_area_first,400,281,119,70.25
C2_1,min_area_first,3600,1186,614,65.89
C2_2,min_area_first,3600,1435,365,79.72
C2_3,min_area_first,3600,1388,412,77.11
C3_1,min_area_first,1600,391,209,65.17
C3_2,min_area_first,1600,426,174,71.00
C3_3,min_area_first,1600,390,210,65.00
C4_1,min_area_first,3600,2720,880,75.56
C4_2,min_area_first,3600,2696,904,74.89
C4_3,min_area_first,3600,2639,961,73.31
C5_1,min_area_first,3600,3819,1581,70.72
C5_2,min_area_first,3600,4078,1322,75.52
C5_3,min_area_first,3600,4031,1369,74.65
C6_1,min_area_first,6400,7671,1929,79.91
C6_2,min_area_first,6400,6417,3183,66.84
C6_3,min_area_first,6400,6965,2635,72.55
C7_1,min_area_first,25600,31164,7236,81.16
C7_2,min_area_first,25600,28120,10280,73.23
C7_3,min_area_first,25600,30146,8254,78.51
